Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Bamako,PM2.5 - Principal,2019-07-05 02:00 AM,2019,07,05,02,-999.0,-999,N/A,0.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2019-07-05 03:00 AM,2019,07,05,03,0.0,0,Good,0.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2019-07-05 04:00 AM,2019,07,05,04,0.0,0,Good,0.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2019-07-05 05:00 AM,2019,07,05,05,0.0,0,Good,0.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2019-07-05 06:00 AM,2019,07,05,06,0.0,0,Good,0.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2019-07-05 07:00 AM,2019,07,05,07,0.0,0,Good,0.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2019-07-05 08:00 AM,2019,07,05,08,0.0,0,Good,0.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2019-07-05 09:00 AM,2019,07,05,09,0.0,0,Good,0.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2019-07-05 10:00 AM,2019,07,05,10,0.0,0,Good,0.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2019-07-05 11:00 AM,2019,07,05,11,0.0,0,Good,0.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2019-07-05 12:00 PM,2019,07,05,12,0.0,0,Good,0.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2019-07-05 01:00 PM,2019,07,05,13,0.0,0,Good,-999.0,UG/M3,1 Hr,Missing
Bamako,PM2.5 - Principal,2019-07-05 05:00 PM,2019,07,05,17,-999.0,-999,N/A,0.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2019-07-05 06:00 PM,2019,07,05,18,0.0,0,Good,0.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2019-07-05 07:00 PM,2019,07,05,19,0.0,0,Good,0.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2019-07-05 08:00 PM,2019,07,05,20,0.0,0,Good,0.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2019-07-05 09:00 PM,2019,07,05,21,0.0,0,Good,0.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2019-07-05 10:00 PM,2019,07,05,22,0.0,0,Good,0.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2019-07-05 11:00 PM,2019,07,05,23,0.0,0,Good,0.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2019-07-06 12:00 AM,2019,07,06,00,0.0,0,Good,0.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2019-07-06 01:00 AM,2019,07,06,01,0.0,0,Good,-999.0,UG/M3,1 Hr,Missing
Bamako,PM2.5 - Principal,2019-07-06 02:00 AM,2019,07,06,02,0.0,0,Good,0.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2019-07-06 03:00 AM,2019,07,06,03,0.0,0,Good,0.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2019-07-06 04:00 AM,2019,07,06,04,0.0,0,Good,0.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2019-07-06 05:00 AM,2019,07,06,05,0.0,0,Good,0.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2019-07-06 06:00 AM,2019,07,06,06,0.0,0,Good,0.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2019-07-06 07:00 AM,2019,07,06,07,0.0,0,Good,0.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2019-07-06 08:00 AM,2019,07,06,08,0.0,0,Good,0.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2019-07-06 09:00 AM,2019,07,06,09,0.0,0,Good,0.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2019-07-06 10:00 AM,2019,07,06,10,0.0,0,Good,0.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2019-07-06 11:00 AM,2019,07,06,11,0.0,0,Good,0.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2019-07-06 12:00 PM,2019,07,06,12,0.0,0,Good,0.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2019-07-06 01:00 PM,2019,07,06,13,0.0,0,Good,0.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2019-07-06 02:00 PM,2019,07,06,14,0.0,0,Good,0.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2019-07-06 03:00 PM,2019,07,06,15,0.0,0,Good,0.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2019-07-06 04:00 PM,2019,07,06,16,0.0,0,Good,0.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2019-07-06 05:00 PM,2019,07,06,17,0.0,0,Good,0.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2019-07-06 06:00 PM,2019,07,06,18,0.0,0,Good,0.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2019-07-06 07:00 PM,2019,07,06,19,0.0,0,Good,0.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2019-07-06 08:00 PM,2019,07,06,20,0.0,0,Good,0.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2019-07-06 09:00 PM,2019,07,06,21,0.0,0,Good,0.0,UG/M3,1 Hr,Valid
